XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
11/18/2025 23:06,4068.32,4070.3,4067.45,4070.3,198,0.05,
11/18/2025 23:05,4067.56,4069.29,4067.16,4068.31,75,0.02,
11/18/2025 23:04,4068.66,4068.66,4067.46,4067.95,-71,-0.02,
11/18/2025 23:03,4067.84,4068.57,4066.06,4068.55,71,0.02,
11/18/2025 23:02,4069.67,4070.03,4066.8,4067.81,-186,-0.05,
11/18/2025 23:01,4068.81,4070.87,4068.81,4069.52,71,0.02,
11/18/2025 21:58,4067.33,4067.63,4067,4067.63,30,0.01,
11/18/2025 21:57,4066.58,4067.53,4066.43,4067.39,81,0.02,
11/18/2025 21:56,4067.08,4067.09,4066.55,4066.55,-53,-0.01,
11/18/2025 21:55,4067.21,4067.38,4066.88,4066.88,-33,-0.01,
11/18/2025 21:54,4066.83,4067.61,4066.75,4067.25,42,0.01,
11/18/2025 21:53,4067.25,4067.25,4066.73,4066.98,-27,-0.01,
11/18/2025 21:52,4066.66,4067.28,4066.66,4067.28,62,0.02,
11/18/2025 21:51,4066.48,4066.83,4066.23,4066.58,10,0.00,
11/18/2025 21:50,4067.85,4067.85,4065.95,4066.73,-112,-0.03,
11/18/2025 21:49,4068.07,4068.38,4067.85,4067.86,-21,-0.01,
11/18/2025 21:48,4068.36,4068.36,4067.51,4067.98,-38,-0.01,
11/18/2025 21:47,4067.29,4068.37,4067.29,4068.37,108,0.03,
11/18/2025 21:46,4065.76,4067.23,4065.68,4067.23,147,0.04,
11/18/2025 21:45,4067.21,4067.83,4065.73,4065.82,-139,-0.03,
11/18/2025 21:44,4066.7,4068.11,4066.7,4067.21,51,0.01,
11/18/2025 21:43,4066.76,4067.28,4066.64,4066.71,-5,0.00,
11/18/2025 21:42,4065.4,4066.54,4065.27,4066.54,114,0.03,
11/18/2025 21:41,4065.99,4065.99,4065.16,4065.48,-51,-0.01,
11/18/2025 21:40,4066.98,4067.05,4065.74,4065.95,-103,-0.03,
11/18/2025 21:39,4067.73,4068.25,4067,4067,-73,-0.02,
11/18/2025 21:38,4067.81,4067.93,4067.74,4067.78,-3,0.00,
11/18/2025 21:37,4067.7,4067.81,4067.62,4067.74,4,0.00,
11/18/2025 21:36,4068.2,4068.2,4067.6,4067.74,-46,-0.01,
11/18/2025 21:35,4067.9,4068.48,4067.81,4068.28,38,0.01,
11/18/2025 21:34,4067.8,4067.96,4067.49,4067.81,1,0.00,
11/18/2025 21:33,4067.75,4067.94,4067.53,4067.87,12,0.00,
11/18/2025 21:32,4067.65,4068.2,4067.49,4067.76,11,0.00,
11/18/2025 21:31,4067.1,4067.8,4066.86,4067.77,67,0.02,
11/18/2025 21:30,4065.71,4067.51,4065.71,4067.11,140,0.03,
11/18/2025 21:29,4065.5,4065.86,4065.18,4065.67,17,0.00,
11/18/2025 21:28,4065.52,4065.83,4065.32,4065.5,-2,0.00,
11/18/2025 21:27,4065.34,4065.69,4065.19,4065.62,28,0.01,
11/18/2025 21:26,4066.43,4066.76,4065.25,4065.25,-118,-0.03,
11/18/2025 21:25,4066.71,4066.84,4066.31,4066.45,-26,-0.01,
11/18/2025 21:24,4066.56,4066.81,4066.21,4066.69,13,0.00,
11/18/2025 21:23,4066.68,4066.71,4066,4066.56,-12,0.00,
11/18/2025 21:22,4066.6,4066.97,4066.27,4066.51,-9,0.00,
11/18/2025 21:21,4065.6,4066.75,4065.48,4066.73,113,0.03,
11/18/2025 21:20,4066.46,4066.49,4064.86,4065.66,-80,-0.02,
11/18/2025 21:19,4067.48,4067.63,4066.31,4066.31,-117,-0.03,
11/18/2025 21:18,4067.4,4067.63,4067.11,4067.32,-8,0.00,
11/18/2025 21:17,4067.18,4068.22,4067.18,4067.3,12,0.00,
11/18/2025 21:16,4069.32,4069.32,4066.96,4067.18,-214,-0.05,
11/18/2025 21:15,4070.25,4070.25,4069.32,4069.33,-92,-0.02,
11/18/2025 21:14,4070.84,4070.85,4070.27,4070.41,-43,-0.01,
11/18/2025 21:13,4070.71,4070.83,4070.61,4070.7,-1,0.00,
11/18/2025 21:12,4069.98,4070.68,4069.95,4070.65,67,0.02,
11/18/2025 21:11,4070.82,4070.82,4069.92,4069.92,-90,-0.02,
11/18/2025 21:10,4070.51,4071.02,4070.22,4070.83,32,0.01,
11/18/2025 21:09,4070.54,4070.67,4070.28,4070.43,-11,0.00,
11/18/2025 21:08,4070.16,4070.72,4069.98,4070.53,37,0.01,
11/18/2025 21:07,4069.88,4070.44,4069.44,4070.25,37,0.01,
11/18/2025 21:06,4071.03,4071.04,4069.38,4069.89,-114,-0.03,
11/18/2025 21:05,4070.28,4071.36,4070.14,4071.13,85,0.02,
11/18/2025 21:04,4071.95,4071.95,4070.33,4070.33,-162,-0.04,
11/18/2025 21:03,4071.69,4072.26,4071.58,4071.94,25,0.01,
11/18/2025 21:02,4070.56,4072.22,4070.17,4071.8,124,0.03,
11/18/2025 21:01,4070.98,4071.33,4069.67,4070.55,-43,-0.01,
11/18/2025 21:00,4069.48,4070.92,4069.41,4070.77,129,0.03,
11/18/2025 20:59,4069.98,4070.45,4068.65,4069.23,-75,-0.02,
11/18/2025 20:58,4068.72,4070.3,4068.72,4070.15,143,0.04,
11/18/2025 20:57,4069.5,4069.5,4068.26,4068.56,-94,-0.02,
11/18/2025 20:56,4069.73,4069.81,4069,4069.36,-37,-0.01,
11/18/2025 20:55,4069.29,4070.65,4069.23,4069.7,41,0.01,
11/18/2025 20:54,4069.64,4069.9,4069.04,4069.17,-47,-0.01,
11/18/2025 20:53,4069.38,4069.72,4068.99,4069.48,10,0.00,
11/18/2025 20:52,4069.65,4070.23,4068.73,4069.31,-34,-0.01,
11/18/2025 20:51,4069.94,4070.38,4069.23,4069.77,-17,0.00,
11/18/2025 20:50,4069.56,4071.06,4069.44,4069.85,29,0.01,
11/18/2025 20:49,4070.81,4071.46,4069.5,4069.64,-117,-0.03,
11/18/2025 20:48,4069.08,4070.77,4068.68,4070.77,169,0.04,
11/18/2025 20:47,4068,4069.25,4067.38,4069.18,118,0.03,
11/18/2025 20:46,4069.63,4070.45,4067.57,4067.98,-165,-0.04,
11/18/2025 20:45,4068.6,4069.77,4068.6,4069.64,104,0.03,
11/18/2025 20:44,4070.78,4070.78,4068.47,4068.55,-223,-0.05,
11/18/2025 20:43,4069.69,4070.83,4068.98,4070.81,112,0.03,
11/18/2025 20:42,4070.81,4070.81,4069.44,4069.68,-113,-0.03,
11/18/2025 20:41,4071.59,4071.88,4070.67,4070.67,-92,-0.02,
11/18/2025 20:40,4072.64,4072.75,4071.61,4071.61,-103,-0.03,
11/18/2025 20:39,4072.26,4072.98,4071.44,4072.61,35,0.01,
11/18/2025 20:38,4070.75,4072.64,4070.45,4072.17,142,0.03,
11/18/2025 20:37,4070.4,4071.03,4069.79,4070.93,53,0.01,
11/18/2025 20:36,4071.58,4071.71,4069.84,4070.43,-115,-0.03,
11/18/2025 20:35,4071.81,4072.47,4071.46,4071.47,-34,-0.01,
11/18/2025 20:34,4072.22,4072.67,4071.54,4071.74,-48,-0.01,
11/18/2025 20:33,4073.57,4073.57,4072.26,4072.26,-131,-0.03,
11/18/2025 20:32,4071.86,4073.69,4071.69,4073.61,175,0.04,
11/18/2025 20:31,4072.03,4072.56,4071.42,4071.97,-6,0.00,
11/18/2025 20:30,4072.27,4072.8,4071.24,4072.07,-20,0.00,
11/18/2025 20:29,4070.95,4072.33,4070.77,4072.09,114,0.03,
11/18/2025 20:28,4070.34,4071.23,4069.53,4071.01,67,0.02,
11/18/2025 20:27,4070.39,4071.74,4070,4070.63,24,0.01,
11/18/2025 20:26,4070.72,4070.86,4069.49,4070.44,-28,-0.01,
11/18/2025 20:25,4071.99,4072.66,4070.56,4070.73,-126,-0.03,
11/18/2025 20:24,4073.06,4073.06,4071.22,4071.79,-127,-0.03,
11/18/2025 20:23,4074.5,4074.92,4072.61,4072.9,-160,-0.04,
11/18/2025 20:22,4074.98,4075.61,4074.26,4074.51,-47,-0.01,
11/18/2025 20:21,4075.25,4075.83,4074.89,4075.12,-13,0.00,
11/18/2025 20:20,4074.34,4075.13,4074.18,4075.13,79,0.02,
11/18/2025 20:19,4075.41,4075.51,4074.05,4074.52,-89,-0.02,
11/18/2025 20:18,4075.85,4076.3,4075.33,4075.46,-39,-0.01,
11/18/2025 20:17,4074.44,4076.32,4074.44,4075.82,138,0.03,
11/18/2025 20:16,4075.17,4075.17,4073.88,4074.38,-79,-0.02,
11/18/2025 20:15,4073.6,4075.65,4073.6,4075.14,154,0.04,
11/18/2025 20:14,4074.53,4075.01,4073.09,4073.42,-111,-0.03,
11/18/2025 20:13,4077.09,4077.09,4074.22,4074.66,-243,-0.06,
11/18/2025 20:12,4076.64,4077.29,4076.58,4077.1,46,0.01,
11/18/2025 20:11,4076.48,4076.64,4075.65,4076.28,-20,0.00,
11/18/2025 20:10,4075.9,4077.43,4075.58,4076.64,74,0.02,
11/18/2025 20:09,4076.08,4076.51,4075.6,4075.9,-18,0.00,
11/18/2025 20:08,4076.04,4077.3,4075.9,4076.33,29,0.01,
11/18/2025 20:07,4075.87,4076.55,4075.35,4076.06,19,0.00,
11/18/2025 20:06,4077.16,4077.16,4075.38,4075.8,-136,-0.03,
11/18/2025 20:05,4078.38,4078.81,4077.18,4077.41,-97,-0.02,
11/18/2025 20:04,4081.04,4081.14,4078.53,4078.53,-251,-0.06,
11/18/2025 20:03,4080.88,4080.89,4079.21,4080.72,-16,0.00,
11/18/2025 20:02,4081.19,4081.7,4079.4,4080.92,-27,-0.01,
11/18/2025 20:01,4081.68,4081.76,4080.91,4081.16,-52,-0.01,
11/18/2025 20:00,4081.25,4082.18,4080.91,4081.6,35,0.01,
11/18/2025 19:59,4081.03,4081.9,4080.57,4081.06,3,0.00,
11/18/2025 19:58,4078.95,4081.95,4078.95,4080.94,199,0.05,
11/18/2025 19:57,4080.06,4080.6,4078.8,4078.89,-117,-0.03,
11/18/2025 19:56,4078.35,4080.26,4078.24,4080.26,191,0.05,
11/18/2025 19:55,4077.85,4078.22,4076.68,4078.22,37,0.01,
11/18/2025 19:54,4077.62,4078.53,4077.56,4077.85,23,0.01,
11/18/2025 19:53,4079.15,4079.24,4077.69,4077.69,-146,-0.04,
11/18/2025 19:52,4078.8,4079.32,4078.25,4079.16,36,0.01,
11/18/2025 19:51,4080.07,4080.07,4078.85,4078.93,-114,-0.03,
11/18/2025 19:50,4080.97,4081.12,4079.72,4080.13,-84,-0.02,
11/18/2025 19:49,4079.46,4080.98,4079.46,4080.98,152,0.04,
11/18/2025 19:48,4080.17,4080.36,4078.91,4079.36,-81,-0.02,
11/18/2025 19:47,4077.94,4080.24,4077.94,4080.15,221,0.05,
11/18/2025 19:46,4077.95,4078.82,4077.44,4077.86,-9,0.00,
11/18/2025 19:45,4077.2,4078.08,4077.03,4078,80,0.02,
11/18/2025 19:44,4077.47,4077.47,4076.52,4076.83,-64,-0.02,
11/18/2025 19:43,4076.58,4077.63,4076.34,4077.42,84,0.02,
11/18/2025 19:42,4077.01,4077.06,4075.41,4076.68,-33,-0.01,
11/18/2025 19:41,4078.16,4078.16,4076.88,4077.03,-113,-0.03,
11/18/2025 19:40,4078.87,4079.35,4077.35,4078.17,-70,-0.02,
11/18/2025 19:39,4078.27,4079.05,4077.2,4078.71,44,0.01,
11/18/2025 19:38,4080.15,4080.8,4078.47,4078.47,-168,-0.04,
11/18/2025 19:37,4077.93,4079.44,4077.23,4079.44,151,0.04,
11/18/2025 19:36,4077.92,4078.9,4077.72,4077.87,-5,0.00,
11/18/2025 19:35,4075.37,4078.23,4075.24,4077.85,248,0.06,
11/18/2025 19:34,4074.89,4075.14,4073.65,4075.1,21,0.01,
11/18/2025 19:33,4074.63,4075.87,4074.34,4074.9,27,0.01,
11/18/2025 19:32,4076.51,4076.51,4073.63,4074.69,-182,-0.04,
11/18/2025 19:31,4078.73,4078.81,4076.55,4076.55,-218,-0.05,
11/18/2025 19:30,4075.72,4079.44,4075.59,4078.62,290,0.07,
11/18/2025 19:29,4075.26,4075.92,4075.15,4075.65,39,0.01,
11/18/2025 19:28,4075.57,4075.96,4075.05,4075.25,-32,-0.01,
11/18/2025 19:27,4076.49,4076.87,4075.71,4075.71,-78,-0.02,
11/18/2025 19:26,4078.1,4078.85,4076.68,4076.68,-142,-0.03,
11/18/2025 19:25,4076.37,4078.1,4076.35,4078.1,173,0.04,
11/18/2025 19:24,4076.43,4076.77,4076.16,4076.36,-7,0.00,
11/18/2025 19:23,4077.07,4077.07,4075.73,4076.44,-63,-0.02,
11/18/2025 19:22,4076.9,4078,4076.16,4077.19,29,0.01,
11/18/2025 19:21,4078.93,4078.93,4076.9,4076.9,-203,-0.05,
11/18/2025 19:20,4079.6,4080.77,4078.2,4078.85,-75,-0.02,
11/18/2025 19:19,4080.31,4080.44,4079.59,4079.75,-56,-0.01,
11/18/2025 19:18,4078.33,4080.35,4078.33,4080.05,172,0.04,
11/18/2025 19:17,4079.31,4079.31,4078.01,4078.43,-88,-0.02,
11/18/2025 19:16,4078.02,4079.37,4078.02,4079.37,135,0.03,
11/18/2025 19:15,4079.56,4079.95,4076.88,4077.95,-161,-0.04,
11/18/2025 19:14,4078.7,4079.84,4078.51,4079.49,79,0.02,
11/18/2025 19:13,4076.47,4079.04,4075.51,4079.04,257,0.06,
11/18/2025 19:12,4074.82,4077.01,4074.71,4076.48,166,0.04,
11/18/2025 19:11,4076.06,4076.06,4074.06,4074.82,-124,-0.03,
11/18/2025 19:10,4074.73,4076.4,4074.73,4076.16,143,0.04,
11/18/2025 19:09,4074.84,4074.97,4074.01,4074.53,-31,-0.01,
11/18/2025 19:08,4074.25,4074.89,4073.89,4074.84,59,0.01,
11/18/2025 19:07,4074.38,4074.55,4073.77,4074.23,-15,0.00,
11/18/2025 19:06,4073.69,4074.41,4073.59,4074.41,72,0.02,
11/18/2025 19:05,4074.03,4075.74,4074.03,4075.03,100,0.02,
11/18/2025 19:04,4073.27,4074.32,4073.27,4074.14,87,0.02,
11/18/2025 19:03,4074,4074.22,4072.95,4073.16,-84,-0.02,
11/18/2025 19:02,4073.69,4074.03,4072.71,4074,31,0.01,
11/18/2025 19:01,4073.51,4074.96,4073.51,4073.85,34,0.01,
11/18/2025 19:00,4072.7,4073.77,4072.7,4073.57,87,0.02,
11/18/2025 18:59,4072.56,4072.75,4071.89,4072.62,6,0.00,
11/18/2025 18:58,4074.17,4074.17,4072.02,4072.4,-177,-0.04,
11/18/2025 18:57,4073.14,4074.51,4072.97,4074.17,103,0.03,
11/18/2025 18:56,4074.17,4074.36,4072.56,4072.97,-120,-0.03,
11/18/2025 18:55,4073.53,4074.5,4072.51,4074.18,65,0.02,
11/18/2025 18:54,4071.96,4074.18,4071.95,4073.71,175,0.04,
11/18/2025 18:53,4072.71,4072.97,4071.64,4071.64,-107,-0.03,
11/18/2025 18:52,4070.99,4072.99,4070.99,4072.8,181,0.04,
11/18/2025 18:51,4069.81,4070.99,4069.52,4070.87,106,0.03,
11/18/2025 18:50,4070.83,4070.84,4069.47,4069.81,-102,-0.03,
11/18/2025 18:49,4070.58,4071.13,4069.32,4070.79,21,0.01,
11/18/2025 18:48,4071.8,4072.12,4070.43,4070.73,-107,-0.03,
11/18/2025 18:47,4073.31,4073.5,4071.5,4071.85,-146,-0.04,
11/18/2025 18:46,4072.15,4073.79,4072.15,4073.42,127,0.03,
11/18/2025 18:45,4070.77,4072.63,4070.77,4072.17,140,0.03,
11/18/2025 18:44,4071.9,4072.06,4070.75,4070.76,-114,-0.03,
11/18/2025 18:43,4072.15,4072.48,4070.81,4071.91,-24,-0.01,
11/18/2025 18:42,4072.88,4072.95,4071.54,4072.1,-78,-0.02,
11/18/2025 18:41,4071.99,4072.82,4071.61,4072.82,83,0.02,
11/18/2025 18:40,4072.09,4072.66,4071.77,4072.13,4,0.00,
11/18/2025 18:39,4070.21,4071.75,4069.96,4071.75,154,0.04,
11/18/2025 18:38,4068.88,4070.63,4068.07,4070.56,168,0.04,
11/18/2025 18:37,4067.97,4069.22,4066.69,4068.87,90,0.02,
11/18/2025 18:36,4068.73,4068.91,4066.54,4067.89,-84,-0.02,
11/18/2025 18:35,4067.21,4069.1,4067.21,4068.73,152,0.04,
11/18/2025 18:34,4064.91,4067.26,4064.83,4067.26,235,0.06,
